Driver,Stint,Compound,MeanStintLapTime,StdStintLapTime,NumValidLaps
ALB,1.0,MEDIUM,0 days 00:01:34.591923076,0 days 00:00:03.404104216,26
ALB,2.0,INTERMEDIATE,0 days 00:01:43.262714285,0 days 00:00:01.761903678,7
ALB,3.0,MEDIUM,0 days 00:01:30.246615384,0 days 00:00:00.370587492,13
ALO,1.0,MEDIUM,0 days 00:01:34.487038461,0 days 00:00:03.745173859,26
ALO,2.0,INTERMEDIATE,0 days 00:01:43.142555555,0 days 00:00:01.166210648,9
ALO,3.0,MEDIUM,0 days 00:01:30.371692307,0 days 00:00:00.540151735,13
BOT,1.0,MEDIUM,0 days 00:01:35.444800,0 days 00:00:03.166817974,25
BOT,2.0,INTERMEDIATE,0 days 00:01:44.248888888,0 days 00:00:01.176006318,9
BOT,3.0,SOFT,0 days 00:01:32.538846153,0 days 00:00:01.530953616,13
GAS,1.0,MEDIUM,,,1
HAM,1.0,MEDIUM,0 days 00:01:32.868600,0 days 00:00:02.615130446,25
HAM,2.0,INTERMEDIATE,0 days 00:01:41.555333333,0 days 00:00:01.094703955,9
HAM,3.0,SOFT,0 days 00:01:29.767461538,0 days 00:00:00.262713283,13
HUL,1.0,MEDIUM,0 days 00:01:34.044920,0 days 00:00:03.117593528,25
HUL,2.0,INTERMEDIATE,0 days 00:01:42.663818181,0 days 00:00:01.653181830,11
HUL,3.0,SOFT,0 days 00:01:30.406000,0 days 00:00:00.386823191,12
LEC,1.0,MEDIUM,0 days 00:01:33.292888888,0 days 00:00:01.889877210,18
LEC,2.0,INTERMEDIATE,0 days 00:01:45.749400,0 days 00:00:02.434999650,5
LEC,3.0,INTERMEDIATE,0 days 00:01:42.621625,0 days 00:00:01.312108438,8
LEC,4.0,SOFT,0 days 00:01:30.419461538,0 days 00:00:00.633343194,13
MAG,1.0,MEDIUM,0 days 00:01:34.688846153,0 days 00:00:03.605855223,26
MAG,2.0,INTERMEDIATE,0 days 00:01:44.336000,0 days 00:00:01.406042673,8
MAG,3.0,SOFT,0 days 00:01:31.287214285,0 days 00:00:00.787421222,14
NOR,1.0,MEDIUM,0 days 00:01:32.994200,0 days 00:00:02.909004382,25
NOR,2.0,INTERMEDIATE,0 days 00:01:41.325700,0 days 00:00:01.634857115,10
NOR,3.0,SOFT,0 days 00:01:30.123583333,0 days 00:00:00.517906179,12
OCO,1.0,SOFT,0 days 00:01:35.198444444,0 days 00:00:02.553267024,18
OCO,3.0,MEDIUM,0 days 00:01:40.308333333,0 days 00:00:06.296331656,3
OCO,4.0,INTERMEDIATE,0 days 00:01:43.335200,0 days 00:00:01.498257936,10
OCO,5.0,MEDIUM,0 days 00:01:31.925090909,0 days 00:00:01.596417204,11
PER,1.0,HARD,0 days 00:01:33.049882352,0 days 00:00:00.927693233,17
PER,2.0,INTERMEDIATE,0 days 00:01:47.068142857,0 days 00:00:03.562651326,7
PER,3.0,INTERMEDIATE,0 days 00:01:43.113857142,0 days 00:00:01.753757150,7
PER,4.0,MEDIUM,0 days 00:01:31.077500,0 days 00:00:01.189847889,8
PER,5.0,SOFT,0 days 00:01:33.533500,0 days 00:00:05.411488196,2
PIA,1.0,MEDIUM,0 days 00:01:33.811518518,0 days 00:00:04.200134479,27
PIA,2.0,INTERMEDIATE,0 days 00:01:42.316625,0 days 00:00:01.509095749,8
PIA,3.0,MEDIUM,0 days 00:01:29.393846153,0 days 00:00:00.371779694,13
RIC,1.0,MEDIUM,0 days 00:01:34.908800,0 days 00:00:03.163055089,25
RIC,2.0,INTERMEDIATE,0 days 00:01:44.216125,0 days 00:00:01.105170502,8
RIC,3.0,SOFT,0 days 00:01:31.956615384,0 days 00:00:01.389952429,13
RUS,1.0,MEDIUM,0 days 00:01:32.905440,0 days 00:00:02.540039354,25
RUS,2.0,INTERMEDIATE,0 days 00:01:41.657250,0 days 00:00:01.131829308,4
SAI,1.0,MEDIUM,0 days 00:01:33.343880,0 days 00:00:02.211938578,25
SAI,2.0,INTERMEDIATE,0 days 00:01:42.262400,0 days 00:00:01.617585937,10
SAI,3.0,HARD,0 days 00:01:29.726888888,0 days 00:00:00.326080298,9
SAI,4.0,SOFT,0 days 00:01:28.293000,,1
SAR,1.0,MEDIUM,0 days 00:01:34.778320,0 days 00:00:03.472516795,25
SAR,2.0,INTERMEDIATE,0 days 00:01:44.126333333,0 days 00:00:01.603756683,9
SAR,3.0,SOFT,0 days 00:01:30.956076923,0 days 00:00:00.636772521,13
STR,1.0,MEDIUM,0 days 00:01:34.171480,0 days 00:00:03.302057718,25
STR,2.0,INTERMEDIATE,0 days 00:01:42.955272727,0 days 00:00:01.621439242,11
STR,3.0,MEDIUM,0 days 00:01:30.053916666,0 days 00:00:00.103717674,12
TSU,1.0,MEDIUM,0 days 00:01:34.550192307,0 days 00:00:03.321403872,26
TSU,2.0,INTERMEDIATE,0 days 00:01:43.670555555,0 days 00:00:01.286653713,9
TSU,3.0,SOFT,0 days 00:01:31.241615384,0 days 00:00:00.614130216,13
VER,1.0,MEDIUM,0 days 00:01:33.331240,0 days 00:00:02.608244864,25
VER,2.0,INTERMEDIATE,0 days 00:01:41.827900,0 days 00:00:01.170534773,10
VER,3.0,HARD,0 days 00:01:29.386923076,0 days 00:00:00.287276133,13
ZHO,1.0,SOFT,0 days 00:01:35.141454545,0 days 00:00:02.585042799,11
ZHO,2.0,MEDIUM,0 days 00:01:35.574800,0 days 00:00:03.255601895,5
ZHO,3.0,INTERMEDIATE,0 days 00:01:48.400200,0 days 00:00:02.303724093,5
ZHO,4.0,INTERMEDIATE,0 days 00:01:43.908333333,0 days 00:00:01.996329757,9
ZHO,5.0,SOFT,0 days 00:01:31.701000,0 days 00:00:00.700374445,12
