Driver,Stint,Compound,SlopePerLap,Intercept,R2Score,NumLaps,MeanLapTime,StdLapTime
ALB,1.0,MEDIUM,0.11773811965811962,93.00245846153845,0.06998167972670011,26,94.59192307692307,3.337998812313437
ALB,2.0,INTERMEDIATE,-0.111848684210527,103.85391447368421,0.029169012568405095,7,103.26271428571428,1.6312058391864332
ALB,3.0,MEDIUM,-0.08593956043956046,90.93413186813189,0.8156331758479779,13,90.2466153846154,0.3560489461731427
ALO,1.0,MEDIUM,0.14043863247863236,92.59111692307692,0.08225931390974361,26,94.48703846153846,3.6724451138043332
ALO,2.0,INTERMEDIATE,-0.09828333333333321,103.73225555555555,0.05326807624048879,9,103.14255555555556,1.09951394424093
ALO,3.0,MEDIUM,0.03267582417582458,90.11028571428572,0.05550239082622488,13,90.37169230769231,0.5189610011456167
BOT,1.0,MEDIUM,0.07141307692307682,94.51643,0.027544912635791285,25,95.4448,3.1028352582758885
BOT,2.0,INTERMEDIATE,0.21070000000000022,102.98468888888888,0.2407526212664195,9,104.24888888888889,1.1087493900230763
BOT,3.0,SOFT,-0.22406593406593414,94.33137362637363,0.3248760851118987,13,92.53884615384617,1.470892656552678
HAM,1.0,MEDIUM,0.12175606551878358,91.25167944991054,0.12925133246889708,25,92.86859999999999,2.5622940814824524
HAM,2.0,INTERMEDIATE,0.05471666666666719,101.22703333333334,0.01873730617966063,9,101.55533333333334,1.032096787020374
HAM,3.0,SOFT,-0.017368131868132033,89.92377472527473,0.0662875997025224,13,89.76746153846153,0.25240675822495856
HUL,1.0,MEDIUM,0.07156538461538468,93.11457,0.02854296909691567,25,94.04492,3.0546053482569553
HUL,2.0,INTERMEDIATE,-0.1889727272727282,103.9866272727273,0.14373075278255087,11,102.6638181818182,1.5762470282969225
HUL,3.0,SOFT,0.007580419580419662,90.3264055944056,0.004992347796587526,12,90.406,0.37035500986665676
LEC,1.0,MEDIUM,-0.03158926728586169,93.59298692810458,0.007962634646729083,18,93.2928888888889,1.8366305165495274
LEC,2.0,INTERMEDIATE,0.815360465116279,102.16181395348836,0.48213643070601153,5,105.7494,2.1779298978617283
LEC,3.0,INTERMEDIATE,-0.13825000000000107,103.382,0.06661040487630321,8,102.621625,1.2273650575012323
LEC,4.0,SOFT,0.028021978021978453,90.1952857142857,0.029689952381786622,13,90.41946153846153,0.6084964591749098
MAG,1.0,MEDIUM,0.08238427350427362,93.57665846153844,0.03053710956298994,26,94.68884615384614,3.5358319518489516
MAG,2.0,INTERMEDIATE,0.34416666666666773,102.44308333333333,0.3594941752202223,8,104.33600000000001,1.3152324889539517
MAG,3.0,SOFT,-0.02606373626373641,91.50875604395604,0.019173313012825433,14,91.28721428571428,0.7587780758346588
NOR,1.0,MEDIUM,0.09143976990751206,91.78353744642455,0.05840068832523726,25,92.9942,2.8502305590951766
NOR,2.0,INTERMEDIATE,-0.1161030303030306,102.08036969696971,0.046231602279061645,10,101.32570000000001,1.5509616404024964
NOR,3.0,SOFT,0.12334615384615363,88.95179487179487,0.7373817600314025,12,90.12358333333333,0.4958574153815678
OCO,1.0,SOFT,0.07443962848297211,94.49126797385621,0.024224832416481212,18,95.19844444444445,2.4813295321084596
OCO,4.0,INTERMEDIATE,0.00018181818181890925,103.3340181818182,1.3499350692836032e-07,10,103.33520000000001,1.4213722805795823
OCO,5.0,MEDIUM,0.11675454545454592,91.10780909090907,0.05883658818504145,11,91.9250909090909,1.5221240813443109
PER,1.0,HARD,0.11545098039215686,91.8953725490196,0.3949359362971532,17,93.04988235294117,0.8999946328175205
PER,2.0,INTERMEDIATE,1.226285714285713,100.93671428571429,0.5528960381331627,7,107.06814285714286,3.2983742068120856
PER,3.0,INTERMEDIATE,0.2927857142857145,101.64992857142857,0.130067153750003,7,103.11385714285714,1.6236636200335373
PER,4.0,MEDIUM,-0.3833095238095235,93.18570238095236,0.6226838202114373,8,91.07749999999999,1.1130007861632427
PIA,1.0,MEDIUM,0.2131782661782662,90.82702279202277,0.1622930825607709,27,93.8115185185185,4.121620369694337
PIA,2.0,INTERMEDIATE,-0.036416666666667125,102.51691666666667,0.0034939608974646763,8,102.316625,1.411629814921388
PIA,3.0,MEDIUM,-0.01597802197802191,89.52167032967031,0.028013336531688693,13,89.39384615384614,0.3571943763347987
RIC,1.0,MEDIUM,0.10365538461538447,93.56127999999998,0.05817043796917942,25,94.90879999999999,3.0991483991574196
RIC,2.0,INTERMEDIATE,0.2030552016985137,102.97241188959661,0.283924290495713,8,104.216125,1.0337923434495926
RIC,3.0,SOFT,0.1378516483516482,90.85380219780221,0.14918123391807092,13,91.95661538461539,1.3354230985238373
RUS,1.0,MEDIUM,0.14031957177996424,91.04199608676207,0.1819684692733573,25,92.90544,2.488720138223662
SAI,1.0,MEDIUM,0.05580615384615383,92.61839999999998,0.03447864326735739,25,93.34387999999998,2.167248344237458
SAI,2.0,INTERMEDIATE,-0.3251757575757572,104.70121818181819,0.37043587107120535,10,102.26240000000001,1.5345767624983757
SAI,3.0,HARD,-0.10506666666666671,90.35728888888887,0.7786495763516679,9,89.72688888888888,0.3074314537672284
SAR,1.0,MEDIUM,0.1330850274725274,92.99498063186815,0.08910864106113658,25,94.77832000000001,3.402357708648519
SAR,2.0,INTERMEDIATE,0.11426666666666586,103.44073333333334,0.03807355432432091,9,104.12633333333333,1.5120363017394056
SAR,3.0,SOFT,0.10728021978021975,90.09783516483517,0.43048777554035744,13,90.95607692307694,0.611791249156424
STR,1.0,MEDIUM,0.10591076923076902,92.79463999999999,0.05572409638091136,25,94.17147999999999,3.2353426046711036
STR,2.0,INTERMEDIATE,-0.19903636363636354,104.34852727272727,0.16575100972459766,11,102.95527272727273,1.5459816587709554
STR,3.0,MEDIUM,-0.0087867132867137,90.11981701631701,0.09330194978424466,12,90.05391666666667,0.09930211338245531
TSU,1.0,MEDIUM,0.12459384615384612,92.86817538461538,0.08232005953295751,26,94.55019230769231,3.2569044531370435
TSU,2.0,INTERMEDIATE,-0.13343333333333335,104.47115555555555,0.08066155289174759,9,103.67055555555555,1.2130687542217615
TSU,3.0,SOFT,0.05294505494505493,90.81805494505494,0.11272494085213447,13,91.24161538461537,0.5900372267866518
VER,1.0,MEDIUM,0.12127384615384604,91.75468,0.11710345031308267,25,93.33124,2.5555476169306646
VER,2.0,INTERMEDIATE,-0.0715090909090913,102.2927090909091,0.03421096409353741,10,101.8279,1.1104667892377502
VER,3.0,HARD,-0.03599999999999988,89.67492307692306,0.2381749317360916,13,89.38692307692307,0.27600598141190297
ZHO,1.0,SOFT,-0.12806363636363602,95.90983636363637,0.02699658735480137,11,95.14145454545455,2.464741600457294
ZHO,2.0,MEDIUM,2.0000999999999993,87.5744,0.9435845974915404,5,95.5748,2.911898858133639
ZHO,3.0,INTERMEDIATE,0.5989000000000009,106.0046,0.16896148036061676,5,108.4002,2.060513469987518
ZHO,4.0,INTERMEDIATE,0.2726333333333336,102.27253333333333,0.13987967336058893,9,103.90833333333333,1.882157745189756
ZHO,5.0,SOFT,-0.04033566433566407,92.04385314685315,0.04311825710225192,12,91.70100000000001,0.6705574795148698
